tier,est,se,n,games
budget (<\$10),-0.281479733088686,0.152175328294686,3325,6
mid (\$10-25),-0.456025710093763,0.0602432262656283,7770,14
premium (>\$25),-0.590363342663294,0.105931800218177,3815,9
