k,estimate,conf.low,conf.high,spec
-3,0.0115574047989641,-0.304384316810468,0.327499126408396,B.  Triple difference: free-to-play titles added as a within-Turkey control
-2,-0.10791515932569,-0.348324194768338,0.132493876116958,B.  Triple difference: free-to-play titles added as a within-Turkey control
0,-0.0146745254748752,-0.183859217962087,0.154510167012337,B.  Triple difference: free-to-play titles added as a within-Turkey control
1,-0.487094161289673,-0.751605804776329,-0.222582517803017,B.  Triple difference: free-to-play titles added as a within-Turkey control
2,-0.33750250392872,-0.507382100057432,-0.167622907800009,B.  Triple difference: free-to-play titles added as a within-Turkey control
3,-0.289434422852493,-0.558344034559184,-0.0205248111458019,B.  Triple difference: free-to-play titles added as a within-Turkey control
4,-0.402903988192439,-0.654278610716175,-0.151529365668703,B.  Triple difference: free-to-play titles added as a within-Turkey control
5,-0.287592081248976,-0.481513898476772,-0.0936702640211807,B.  Triple difference: free-to-play titles added as a within-Turkey control
6,-0.537693280925429,-0.886940749689177,-0.188445812161681,B.  Triple difference: free-to-play titles added as a within-Turkey control
7,-0.319184263639362,-0.668805372675234,0.0304368453965111,B.  Triple difference: free-to-play titles added as a within-Turkey control
8,-0.313509650516328,-0.594115775164272,-0.0329035258683826,B.  Triple difference: free-to-play titles added as a within-Turkey control
9,-0.365583286794207,-0.678566403432336,-0.0526001701560775,B.  Triple difference: free-to-play titles added as a within-Turkey control
10,-0.394198259314046,-0.649009305960389,-0.139387212667704,B.  Triple difference: free-to-play titles added as a within-Turkey control
11,-0.426624598661026,-0.710075813367426,-0.143173383954626,B.  Triple difference: free-to-play titles added as a within-Turkey control
12,-0.411881898500177,-0.613078125941758,-0.210685671058596,B.  Triple difference: free-to-play titles added as a within-Turkey control
13,-0.379979317416935,-0.823695114990446,0.0637364801565759,B.  Triple difference: free-to-play titles added as a within-Turkey control
14,-0.30028183716134,-0.708414455143222,0.107850780820542,B.  Triple difference: free-to-play titles added as a within-Turkey control
15,-0.580510676109142,-0.911846291707406,-0.249175060510879,B.  Triple difference: free-to-play titles added as a within-Turkey control
16,-0.444396137325347,-0.789717775331186,-0.0990744993195077,B.  Triple difference: free-to-play titles added as a within-Turkey control
17,-0.441163785067114,-0.819953353052019,-0.0623742170822088,B.  Triple difference: free-to-play titles added as a within-Turkey control
18,-0.346133732450162,-0.61629457085472,-0.0759728940456033,B.  Triple difference: free-to-play titles added as a within-Turkey control
-1,0,0,0,B.  Triple difference: free-to-play titles added as a within-Turkey control
